OA Code,Total Arrivals,Total Departures,Total Commuters
E00075692,2343,210,2553
E00073211,2738,147,2885
E00073268,115,165,280
E00073325,476,149,625
E00174262,2218,107,2325
E00073758,151,86,237
E00073699,266,97,363
E00073526,313,90,403
E00074349,257,92,349
E00073587,200,120,320
E00174310,1682,91,1773
E00075310,1702,129,1831
E00073380,432,136,568
E00073921,3939,95,4034
E00075774,2253,100,2353
E00073342,1990,135,2125
E00174323,927,69,996
E00173036,1656,122,1778
E00074370,1242,96,1338
E00075339,1414,171,1585
E00073436,1250,136,1386
E00074000,828,78,906
E00174245,486,83,569
E00073214,786,155,941
E00075090,5349,216,5565
E00073500,322,138,460
E00073742,772,91,863
E00075199,398,170,568
E00075639,567,116,683
E00075523,5157,132,5289
E00174297,1308,78,1386
E00173089,2562,148,2710
E00074068,281,87,368
E00073385,506,89,595
E00174285,1568,96,1664
E00174231,711,74,785
E00073545,159,152,311
E00073856,169,111,280
E00174293,1570,96,1666
E00075602,69,165,234
E00173041,4024,115,4139
E00075299,168,72,240
E00174307,1677,92,1769
E00074002,5346,57,5403
E00074025,453,126,579
E00174312,5799,91,5890
E00073877,256,109,365
E00074057,1378,142,1520
E00073425,1647,104,1751
E00073510,281,114,395
E00073584,407,114,521
E00174296,794,81,875
E00074088,283,158,441
E00073261,270,92,362
E00073491,616,115,731
E00073481,273,191,464
E00174284,1188,97,1285
E00073394,90,187,277
E00174242,3098,125,3223
E00073659,430,87,517
E00174050,2010,62,2072
E00073247,738,110,848
